order_id,customer_id,product_id,order_date,quantity,price,cost,category,brand,sales_value,cost_value,profit,name,age,gender,location,signup_date,customer_tenure_days
1,962,260,2021-03-17,2,209,123,Luxury,Brand_9,418,246,172,Customer_962,33,Female,Accra,2023-04-12,630
2,724,122,2022-06-16,4,66,54,Books,Brand_8,264,216,48,Customer_724,35,Female,Lagos,2022-07-05,911
3,76,3,2023-03-13,3,308,191,Clothing,Brand_8,924,573,351,Customer_76,43,Male,Eindhoven,2021-07-10,1271
4,787,174,2022-08-29,2,273,191,Home,Brand_16,546,382,164,Customer_787,35,Male,Rotterdam,2021-01-17,1445
5,31,301,2022-08-30,3,269,132,Luxury,Brand_1,807,396,411,Customer_31,57,Female,Eindhoven,2021-04-12,1360
6,646,8,2022-10-04,2,298,195,Books,Brand_12,596,390,206,Customer_646,23,Male,Utrecht,2021-10-04,1185
7,957,429,2023-05-21,4,243,156,Home,Brand_3,972,624,348,Customer_957,55,Female,Tokyo,2023-03-27,646
8,425,288,2022-03-18,1,219,52,Sports,Brand_19,219,52,167,Customer_425,59,Female,Utrecht,2020-11-25,1498
9,509,225,2021-07-31,4,225,181,Books,Brand_10,900,724,176,Customer_509,22,Male,Eindhoven,2020-05-07,1700
10,533,226,2023-08-17,2,314,188,Home,Brand_3,628,376,252,Customer_533,37,Female,Eindhoven,2020-02-05,1792
11,944,299,2021-09-15,4,188,59,Books,Brand_14,752,236,516,Customer_944,39,Male,Groningen,2021-08-29,1221
12,923,368,2022-01-23,3,141,133,Electronics,Brand_16,423,399,24,Customer_923,23,Female,Groningen,2022-01-20,1077
13,13,376,2021-10-13,4,348,187,Sports,Brand_6,1392,748,644,Customer_13,33,Female,Eindhoven,2021-10-08,1181
14,355,198,2022-09-02,1,153,36,Clothing,Brand_12,153,36,117,Customer_355,23,Male,Groningen,2020-10-15,1539
15,902,353,2022-03-20,1,129,7,Sports,Brand_15,129,7,122,Customer_902,32,Female,Accra,2021-05-30,1312
16,879,54,2023-05-22,3,285,87,Home,Brand_18,855,261,594,Customer_879,56,Male,Eindhoven,2022-06-19,927
17,375,197,2022-01-12,1,187,93,Books,Brand_20,187,93,94,Customer_375,26,Male,Tokyo,2020-12-11,1482
18,628,476,2021-08-03,4,217,36,Home,Brand_5,868,144,724,Customer_628,33,Female,Accra,2022-02-20,1046
19,352,464,2022-12-09,1,202,166,Electronics,Brand_1,202,166,36,Customer_352,24,Female,Tokyo,2022-01-12,1085
20,45,294,2023-07-28,1,126,51,Books,Brand_2,126,51,75,Customer_45,43,Female,Rotterdam,2023-05-02,610
21,958,61,2021-07-27,1,64,23,Sports,Brand_8,64,23,41,Customer_958,50,Female,Accra,2020-05-14,1693
22,573,51,2021-11-25,3,117,25,Sports,Brand_15,351,75,276,Customer_573,33,Female,Accra,2022-11-12,781
23,716,456,2021-02-06,2,138,9,Home,Brand_4,276,18,258,Customer_716,53,Female,Rotterdam,2020-01-17,1811
24,515,279,2022-05-07,3,220,166,Sports,Brand_16,660,498,162,Customer_515,62,Female,Rotterdam,2021-11-29,1129
25,730,393,2023-09-02,3,80,27,Home,Brand_4,240,81,159,Customer_730,33,Female,Groningen,2020-10-05,1549
26,342,480,2022-04-07,4,260,115,Books,Brand_10,1040,460,580,Customer_342,53,Female,Eindhoven,2022-02-10,1056
27,881,182,2023-05-26,3,173,5,Electronics,Brand_13,519,15,504,Customer_881,18,Male,Utrecht,2021-12-06,1122
28,383,58,2022-05-12,4,217,138,Electronics,Brand_17,868,552,316,Customer_383,44,Male,Utrecht,2022-03-25,1013
29,435,132,2023-03-23,4,193,94,Electronics,Brand_18,772,376,396,Customer_435,29,Female,Groningen,2024-02-01,335
30,970,482,2021-06-17,2,243,52,Luxury,Brand_2,486,104,382,Customer_970,59,Female,Amsterdam,2021-02-22,1409
31,544,150,2021-11-05,1,264,71,Luxury,Brand_19,264,71,193,Customer_544,59,Male,Utrecht,2023-07-01,550
32,748,114,2022-06-16,2,148,77,Books,Brand_8,296,154,142,Customer_748,43,Female,Utrecht,2022-04-18,989
33,546,372,2022-04-15,3,287,179,Electronics,Brand_4,861,537,324,Customer_546,61,Female,Lagos,2021-08-28,1222
34,179,240,2023-06-02,3,143,20,Clothing,Brand_12,429,60,369,Customer_179,22,Female,Utrecht,2020-07-14,1632
35,484,371,2022-06-09,2,314,170,Books,Brand_4,628,340,288,Customer_484,56,Male,Groningen,2021-07-09,1272
36,185,242,2023-08-23,1,273,131,Sports,Brand_8,273,131,142,Customer_185,35,Male,Lagos,2022-04-11,996
37,254,410,2022-12-02,2,49,20,Sports,Brand_2,98,40,58,Customer_254,45,Female,Utrecht,2020-01-25,1803
38,875,212,2022-04-25,2,342,174,Electronics,Brand_10,684,348,336,Customer_875,63,Female,Tokyo,2021-08-22,1228
39,476,17,2022-11-22,3,189,42,Home,Brand_5,567,126,441,Customer_476,34,Female,Utrecht,2022-08-24,861
40,827,225,2022-06-06,2,225,181,Books,Brand_10,450,362,88,Customer_827,50,Female,Groningen,2020-10-24,1530
41,961,249,2023-03-27,3,189,158,Sports,Brand_16,567,474,93,Customer_961,48,Female,Groningen,2023-12-11,387
42,85,446,2023-01-17,1,197,24,Sports,Brand_11,197,24,173,Customer_85,31,Male,Eindhoven,2021-09-03,1216
43,350,174,2021-11-16,1,273,191,Home,Brand_16,273,191,82,Customer_350,50,Female,Rotterdam,2020-06-15,1661
44,379,158,2022-08-11,2,217,109,Books,Brand_2,434,218,216,Customer_379,51,Male,Lagos,2023-01-26,706
45,51,359,2023-08-03,2,273,114,Electronics,Brand_4,546,228,318,Customer_51,62,Female,Eindhoven,2020-08-13,1602
46,668,57,2023-09-27,3,146,134,Electronics,Brand_15,438,402,36,Customer_668,39,Female,Rotterdam,2024-02-08,328
47,190,316,2022-09-16,4,271,167,Books,Brand_13,1084,668,416,Customer_190,47,Female,Groningen,2023-04-03,639
48,814,318,2023-05-08,1,219,26,Clothing,Brand_11,219,26,193,Customer_814,60,Female,Amsterdam,2022-01-11,1086
49,477,368,2022-10-07,3,141,133,Electronics,Brand_16,423,399,24,Customer_477,59,Male,Amsterdam,2023-04-29,613
50,367,237,2021-08-19,2,129,21,Sports,Brand_5,258,42,216,Customer_367,61,Female,Utrecht,2023-03-11,662
51,567,5,2021-01-30,4,113,107,Clothing,Brand_6,452,428,24,Customer_567,42,Female,Amsterdam,2021-05-15,1327
