order_id,customer_id,product_id,order_date,quantity
1,962,260,2021-03-17,2
2,724,122,2022-06-16,4
3,76,3,2023-03-13,3
4,787,174,2022-08-29,2
5,31,301,2022-08-30,3
6,646,8,2022-10-04,2
7,957,429,2023-05-21,4
8,425,288,2022-03-18,1
9,509,225,2021-07-31,4
10,533,226,2023-08-17,2
11,944,299,2021-09-15,4
12,923,368,2022-01-23,3
13,13,376,2021-10-13,4
14,355,198,2022-09-02,1
15,902,353,2022-03-20,1
16,879,54,2023-05-22,3
17,375,197,2022-01-12,1
18,628,476,2021-08-03,4
19,352,464,2022-12-09,1
20,45,294,2023-07-28,1
21,958,61,2021-07-27,1
22,573,51,2021-11-25,3
23,716,456,2021-02-06,2
24,515,279,2022-05-07,3
25,730,393,2023-09-02,3
26,342,480,2022-04-07,4
27,881,182,2023-05-26,3
28,383,58,2022-05-12,4
29,435,132,2023-03-23,4
30,970,482,2021-06-17,2
31,544,150,2021-11-05,1
32,748,114,2022-06-16,2
33,546,372,2022-04-15,3
34,179,240,2023-06-02,3
35,484,371,2022-06-09,2
36,185,242,2023-08-23,1
37,254,410,2022-12-02,2
38,875,212,2022-04-25,2
39,476,17,2022-11-22,3
40,827,225,2022-06-06,2
41,961,249,2023-03-27,3
42,85,446,2023-01-17,1
43,350,174,2021-11-16,1
44,379,158,2022-08-11,2
45,51,359,2023-08-03,2
46,668,57,2023-09-27,3
47,190,316,2022-09-16,4
48,814,318,2023-05-08,1
49,477,368,2022-10-07,3
50,367,237,2021-08-19,2
51,567,5,2021-01-30,4
52,317,329,2023-02-06,1
53,802,71,2021-08-01,2
54,283,55,2021-10-17,3
55,200,436,2023-02-06,3
56,516,380,2023-07-27,1
57,232,326,2023-03-04,3
58,471,443,2023-05-07,2
59,58,281,2023-04-29,4
60,646,397,2022-09-03,1
61,614,166,2023-07-30,4
62,249,69,2023-08-22,3
63,283,135,2023-09-24,4
64,847,265,2021-02-15,1
65,832,109,2022-11-16,3
66,694,478,2022-10-31,3
67,732,266,2023-02-28,1
68,881,89,2021-06-09,3
69,517,196,2023-07-02,4
70,436,358,2021-04-17,2
71,134,403,2023-02-25,4
72,760,454,2023-06-08,4
73,609,379,2021-06-03,3
74,599,306,2022-07-18,3
75,868,467,2023-01-15,4
76,324,15,2021-11-15,4
77,342,177,2021-02-03,1
78,395,43,2022-04-26,1
79,580,314,2022-06-16,2
80,702,466,2023-05-17,4
81,120,73,2021-02-22,4
82,760,346,2022-12-18,1
83,417,288,2022-12-11,1
84,149,387,2022-05-28,1
85,781,177,2021-03-09,2
86,887,96,2021-08-27,4
87,730,369,2022-11-06,2
88,67,341,2022-07-24,1
89,971,168,2022-05-24,3
90,665,380,2021-09-18,2
91,294,376,2022-05-27,2
